Orth,Phon
ሀ,hə
ሁ,hu
ሂ,hi
ሃ,ha
ሄ,he
ህ,h
ሆ,ho
ለ,lə
ሉ,lu
ሊ,li
ላ,la
ሌ,le
ል,l
ሎ,lo
ሏ,lwa
ሐ,ħə
ሑ,ħu
ሒ,ħi
ሓ,ħa
ሔ,ħe
ሕ,ħ
ሖ,ħo
ሗ,ħwa
መ,mə
ሙ,mu
ሚ,mi
ማ,ma
ሜ,me
ም,m
ሞ,mo
ሟ,mwa
ፙ,mjə
ሠ,sə
ሡ,su
ሢ,si
ሣ,sa
ሤ,se
ሥ,s
ሦ,so
ሧ,swa
ረ,rə
ሩ,ru
ሪ,ri
ራ,ra
ሬ,re
ር,r
ሮ,ro
ሯ,rwa
ፘ,rjə
ሰ,sə
ሱ,su
ሲ,si
ሳ,sa
ሴ,se
ስ,s
ሶ,so
ሷ,swa
ቀ,kə
ቁ,ku
ቂ,ki
ቃ,ka
ቄ,ke
ቅ,k
ቆ,ko
ቋ,kwa
በ,bə
ቡ,bu
ቢ,bi
ባ,ba
ቤ,be
ብ,b
ቦ,bo
ቧ,bwa
ተ,tə
ቱ,tu
ቲ,ti
ታ,ta
ቴ,te
ት,t
ቶ,to
ቷ,twa
ኀ,hə
ኁ,hu
ኂ,hi
ኃ,ha
ኄ,he
ኅ,h
ኆ,ho
ኋ,hwa
ነ,nə
ኑ,nu
ኒ,ni
ና,na
ኔ,ne
ን,n
ኖ,no
ኗ,nwa
አ,ʔə
ኡ,ʔu
ኢ,ʔi
ኣ,ʔa
ኤ,ʔe
እ,ʔ
ኦ,ʔo
ኧ,ʔwa
ከ,kə
ኩ,ku
ኪ,ki
ካ,ka
ኬ,ke
ክ,k
ኮ,ko
ኳ,kwa
ወ,wə
ዉ,wu
ዊ,wi
ዋ,wa
ዌ,we
ው,w
ዎ,wo
ዐ,ʕə
ዑ,ʕu
ዒ,ʕi
ዓ,ʕa
ዔ,ʕe
ዕ,ʕ
ዖ,ʕo
ዘ,zə
ዙ,zu
ዚ,zi
ዛ,za
ዜ,ze
ዝ,z
ዞ,zo
ዟ,zwa
የ,jə
ዩ,ju
ዪ,ji
ያ,ja
ዬ,je
ይ,j
ዮ,jo
ደ,də
ዱ,du
ዲ,di
ዳ,da
ዴ,de
ድ,d
ዶ,do
ዷ,dwa
ገ,ɡə
ጉ,ɡu
ጊ,ɡi
ጋ,ɡa
ጌ,ɡe
ግ,ɡ
ጎ,ɡo
ጓ,ɡwa
ጠ,tʼə
ጡ,tʼu
ጢ,tʼi
ጣ,tʼa
ጤ,tʼe
ጥ,tʼ
ጦ,tʼo
ጧ,tʼwa
ጰ,pʼə
ጱ,pʼu
ጲ,pʼi
ጳ,pʼa
ጴ,pʼe
ጵ,pʼ
ጶ,pʼo
ጷ,pʼwa
ጸ,t͡sʼə
ጹ,t͡sʼu
ጺ,t͡sʼi
ጻ,t͡sʼa
ጼ,t͡sʼe
ጽ,t͡sʼ
ጾ,t͡sʼo
ጿ,t͡sʼwa
ፀ,t͡sʼə
ፁ,t͡sʼu
ፂ,t͡sʼi
ፃ,t͡sʼa
ፄ,t͡sʼe
ፅ,t͡sʼ
ፆ,t͡sʼo
ፈ,fə
ፉ,fu
ፊ,fi
ፋ,fa
ፌ,fe
ፍ,f
ፎ,fo
ፏ,fwa
ፚ,fjə
ፐ,pə
ፑ,pu
ፒ,pi
ፓ,pa
ፔ,pe
ፕ,p
ፖ,po
ፗ,pwa
ሸ,ʃə
ሹ,ʃu
ሺ,ʃi
ሻ,ʃa
ሼ,ʃe
ሽ,ʃ
ሾ,ʃo
ሿ,ʃwa
ቐ,kʰə
ቑ,kʰu
ቒ,kʰi
ቓ,kʰa
ቔ,kʰe
ቕ,kʰ
ቖ,kʰo
ቝ,kʰw
ቛ,kʰwa
ቜ,kʰwe
ቚ,kʰwi
ቨ,və
ቩ,vu
ቪ,vi
ቫ,va
ቬ,ve
ቭ,v
ቮ,vo
ቯ,vwa
ቸ,t͡ʃə
ቹ,t͡ʃu
ቺ,t͡ʃi
ቻ,t͡ʃa
ቼ,t͡ʃe
ች,t͡ʃ
ቾ,t͡ʃo
ቿ,t͡ʃwa
ⶓ,ŋwə
ⶔ,ŋwi
ⶕ,ŋwe
ⶖ,ŋw
ኘ,ɲə
ኙ,ɲu
ኚ,ɲi
ኛ,ɲa
ኜ,ɲe
ኝ,ɲ
ኞ,ɲo
ኟ,ɲwa
ኸ,xə
ኹ,xu
ኺ,xi
ኻ,xa
ኼ,xe
ኽ,x
ኾ,xo
ዀ,xwə
ዂ,xwi
ዃ,xwa
ዄ,xwe
ዅ,xw
ዠ,ʒə
ዡ,ʒu
ዢ,ʒi
ዣ,ʒa
ዤ,ʒe
ዥ,ʒ
ዦ,ʒo
ዧ,ʒwa
ጀ,d͡ʒə
ጁ,d͡ʒu
ጂ,d͡ʒi
ጃ,d͡ʒa
ጄ,d͡ʒe
ጅ,d͡ʒ
ጆ,d͡ʒo
ጇ,d͡ʒwa
ጘ,ŋə
ጙ,ŋu
ጚ,ŋi
ጛ,ŋa
ጜ,ŋe
ጝ,ŋ
ጞ,ŋo
ጟ,ŋwa
ጨ,t͡ʃʼə
ጩ,t͡ʃʼu
ጪ,t͡ʃʼi
ጫ,t͡ʃʼa
ጬ,t͡ʃʼe
ጭ,t͡ʃʼ
ጮ,t͡ʃʼo
ጯ,t͡ʃʼwa
ቈ,kwə
ቊ,kwi
ቌ,kwe
ቍ,kw
ቘ,kʰwə
ኈ,hwə
ኊ,hwi
ኌ,hwe
ኍ,hw
ኰ,kwə
ኲ,kwi
ኴ,kwe
ኵ,kw
ጐ,ɡwə
ጒ,ɡwi
ጔ,ɡwe
ጕ,ɡw
