a,b,X,Y
g,ch,,#
b,p,,#
d,t,,#
sch,s,,#
c,k,,#
gh,ch,,#
c,s,,[eiy]
C,S,,[eiy]
a,aa,,#|(b|d|ch|f|g|h|j|k|l|m|n|p|r|s|t|th|v|w|z)[aeiou]
e,ee,,#|(b|d|ch|f|g|h|j|k|l|m|n|p|r|s|t|th|v|w|z)[aeiou]
i,ii,,#|(b|d|ch|f|g|h|j|k|l|m|n|p|r|s|t|th|v|w|z)[aeiou]
o,oo,,#|(b|d|ch|f|g|h|j|k|l|m|n|p|r|s|t|th|v|w|z)[aeiou]
u,uu,,#|(b|d|ch|f|g|h|j|k|l|m|n|p|r|s|t|th|v|w|z)[aeiou]
A,Aa,,#|(b|d|ch|f|g|h|j|k|l|m|n|p|r|s|t|th|v|w|z)[aeiou]
E,Ee,,#|(b|d|ch|f|g|h|j|k|l|m|n|p|r|s|t|th|v|w|z)[aeiou]
I,Ii,,#|(b|d|ch|f|g|h|j|k|l|m|n|p|r|s|t|th|v|w|z)[aeiou]
O,Oo,,#|(b|d|ch|f|g|h|j|k|l|m|n|p|r|s|t|th|v|w|z)[aeiou]
U,Uu,,#|(b|d|ch|f|g|h|j|k|l|m|n|p|r|s|t|th|v|w|z)[aeiou]
